;a;ā;i;ī;u;ū;ṛ;ṝ;ḷ;ḹ;ẽ;e;ai;õ;o;au;k;kh;g;gh;ṅ;c;ch;j;jh;ñ;ṭ;ṭh;ḍ;ḍh;ṇ;t;th;d;dh;n;p;ph;b;bh;m;y;r;l;v;ś;ṣ;s;h;ḻ;ḻh;ṃ;ḥ
a;3;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3
ā;-2;3;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3
i;-2;-2;3;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3
ī;-2;-2;-2;3;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3
u;-2;-2;-2;-2;3;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3
ū;-2;-2;-2;-2;-2;3;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3
ṛ;-2;-2;-2;-2;-2;-2;3;-2;-2;-2;-2;-2;-2;-2;-2;-2;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3
ṝ;-2;-2;-2;-2;-2;-2;-2;3;-2;-2;-2;-2;-2;-2;-2;-2;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3
ḷ;-2;-2;-2;-2;-2;-2;-2;-2;3;-2;-2;-2;-2;-2;-2;-2;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3
ḹ;-2;-2;-2;-2;-2;-2;-2;-2;-2;3;-2;-2;-2;-2;-2;-2;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3
ẽ;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;3;-2;-2;-2;-2;-2;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3
e;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;3;-2;-2;-2;-2;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3
ai;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;3;-2;-2;-2;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3
õ;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;3;-2;-2;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3
o;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;3;-2;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3
